resource_id,field,current_value,candidate_value,evidence_url,decision,risk,note
DR0011,data_formats,"Shapefile | CSV | GeoJSON | serviços OGC; varia","Shapefile | GeoPackage | GeoTIFF | CSV | formatos variados",https://terrabrasilis.dpi.inpe.br/downloads/,apply_after_exact_row_check,AUTO-SAFE,"Separar formatos de serviços OGC; Shapefile, GeoPackage e GeoTIFF são explicitamente ofertados na página oficial de downloads e CSV aparece nos metadados/catálogos oficiais."
DR0011,authentication_required,"não","parcial",https://terrabrasilis.dpi.inpe.br/faq/,apply,AUTO-SAFE,"O acesso público é aberto, mas o acesso antecipado aos alertas DETER exige credenciais concedidas a instituições de controle/fiscalização."
DR0012,data_formats,"CSV | KML | Shapefile | serviços OGC | visualização web","CSV | KML | TIFF | Shapefile",https://terrabrasilis.dpi.inpe.br/queimadas/portal/pages/secao_downloads/dados-abertos/,apply,AUTO-SAFE,"A página oficial documenta CSV/KML para focos, TIFF/Shapefile para área queimada; OGC e visualização não são formatos."
DR0012,data_access_url,"https://terrabrasilis.dpi.inpe.br/queimadas/bdqueimadas/","https://terrabrasilis.dpi.inpe.br/queimadas/portal/pages/secao_downloads/dados-abertos/",https://terrabrasilis.dpi.inpe.br/queimadas/portal/,apply,AUTO-SAFE,"A entrada representa o Programa Queimadas como um todo; a página de dados abertos agrega focos, área queimada, risco/meteorologia e demais downloads, enquanto BDQueimadas é apenas um componente."
DR0013,authentication_required,"sim","parcial",https://specieslink.net/ws/1.0/,apply,AUTO-SAFE,"A consulta pública da rede é aberta; a API é aberta a todos, porém exige apikey em cada chamada."
DR0013,data_formats,"CSV | Darwin Core; varia conforme a ferramenta","CSV | Darwin Core | JSON | GeoJSON; varia conforme a ferramenta",https://specieslink.net/ws/1.0/,apply,AUTO-SAFE,"JSON e GeoJSON são formatos de resposta documentados pela API e pertencem a data_formats."
DR0013,access_protocols,"REST API | JSON | GeoJSON | exportação tabular","REST API | HTTP GET | exportação tabular",https://specieslink.net/ws/1.0/,apply,AUTO-SAFE,"JSON/GeoJSON são formatos, não protocolos; a API usa HTTP GET."
DR0014,,"","",https://www.gov.br/mma/pt-br/acesso-a-informacao/informacoes-ambientais/conjunto-de-dados-ambientais/dados-ambientais-biodiversidade,no_change,AUTO-SAFE,"Manter valores desconhecidos quando autenticação/API/licença não são confirmadas proporcionalmente no nível da infraestrutura."
DR0015,access_documentation_url,"","https://www.ibge.gov.br/geociencias/informacoes-ambientais/vegetacao/23382-banco-de-informacoes-ambientais.html?lang=pt-BR",https://www.ibge.gov.br/geociencias/informacoes-ambientais/vegetacao/23382-banco-de-informacoes-ambientais.html?lang=pt-BR,apply,AUTO-SAFE,"Página oficial reúne descrição, acesso ao BDiAWeb, metodologia e publicações."
DR0015,verification_url,"https://bdiaweb.ibge.gov.br/","https://www.ibge.gov.br/geociencias/informacoes-ambientais/vegetacao/23382-banco-de-informacoes-ambientais.html?lang=pt-BR",https://www.ibge.gov.br/geociencias/informacoes-ambientais/vegetacao/23382-banco-de-informacoes-ambientais.html?lang=pt-BR,apply,AUTO-SAFE,"Página técnica oficial é evidência mais representativa da identidade, escopo e atualização do produto que o aplicativo isolado."
