resource_id,field,current_value,candidate_value,evidence_url,decision,risk,note
DR0028,access_conditions,"cadastro | aberto ou restrito por estudo","download público sem conta quando autorizado pelo estudo | conta para funções avançadas e solicitação de dados restritos | licenças/embargos por estudo",https://www.movebank.org/cms/movebank-content/user-accounts,apply,AUTO-SAFE,"Conta não é exigida para navegar/baixar estudos públicos; restrições e termos pertencem ao estudo."
DR0028,access_protocols,"REST API | pacotes R | fluxos de dados ao vivo","REST API | HTTP download",https://www.movebank.org/cms/movebank-content/access-data,apply,AUTO-SAFE,"Pacotes R são ferramentas e live feeds são ingestão; não protocolos de acesso ao catálogo."
DR0029,,"","",https://www.neonscience.org/impact/observatory-blog/next-week-required-logins-and-data-licensing-updates,no_change,AUTO-SAFE,"Linha atual já incorpora login/token obrigatório e CC BY 4.0 desde 2026-06-30."
DR0030,authentication_required,"não","parcial",https://dataoneorg.github.io/api-documentation/apis/index.html,apply,AUTO-SAFE,"DataONE suporta leitura pública anônima e objetos com autenticação/controle de acesso."
DR0030,access_protocols,"REST API DataONE | clientes R e Python","REST API DataONE | HTTPS/HTTP download",https://dataoneorg.github.io/api-documentation/apis/index.html,apply,AUTO-SAFE,"Clientes R/Python são ferramentas; REST/HTTP são mecanismos de acesso."
DR0031,authentication_required,"não","parcial",https://knb.ecoinformatics.org/knb/docs/dataone.html,apply,AUTO-SAFE,"KNB/Metacat admite acesso público e políticas restritas/autenticadas; submissão requer autenticação."
DR0031,access_protocols,"REST API DataONE | clientes R e Python","REST API DataONE | HTTPS/HTTP download",https://knb.ecoinformatics.org/knb/docs/submitting.html,apply,AUTO-SAFE,"Clientes são ferramentas, não protocolos."
DR0032,authentication_required,"não","parcial",https://wiki.pangaea.de/wiki/Data_Access_and_Reuse,apply,AUTO-SAFE,"Dados publicados são em geral abertos, mas moratórias protegidas exigem autenticação/autorização."
DR0032,access_conditions,"aberto; alguns embargos","open access após publicação; pequena fração pode permanecer sob moratória/autenticação; metadados públicos",https://wiki.pangaea.de/wiki/Password,apply,AUTO-SAFE,"Representa separadamente publicação aberta e exceções de moratória."
DR0032,license,"licença por dataset, frequentemente Creative Commons","licença explícita por dataset, geralmente Creative Commons; consultar metadados",https://wiki.pangaea.de/wiki/Licence,apply,AUTO-SAFE,"Licença é definida nos metadados do dataset e pode variar."
DR0033,description,"Repositório de dados de pesquisa associados a publicações científicas.","Plataforma multidisciplinar para publicação aberta, curadoria, preservação e reutilização de dados de pesquisa.",https://datadryad.org/mission,apply,AUTO-SAFE,"Dryad atualmente aceita/publica dados de pesquisa em todas as áreas, não apenas dados associados a artigos."
DR0033,data_product_types,"datasets | arquivos suplementares | metadados com DOI","datasets | arquivos de dados | metadados com DOI",https://datadryad.org/help/submission_steps/files,apply,AUTO-SAFE,"Materiais não compatíveis com CC0 podem ser encaminhados ao Zenodo; não tratá-los como produto normal do Dryad."
