resource_id,field,current_value,candidate_value,evidence_url,decision,risk,note
DR0017,data_formats,"CSV | TXT | serviços web; varia","CSV | TXT; varia",https://www.gov.br/ana/pt-br/servicos/acesso-a-sistemas/acesso-aos-sistemas,apply,AUTO-SAFE,"Serviço web/API pertence a access_protocols; preservar apenas formatos já registrados e a variação por recurso."
DR0017,verification_url,"https://www.snirh.gov.br/hidroweb/acesso-api","https://www.gov.br/ana/pt-br/assuntos/gestao-das-aguas/politica-nacional-de-recursos-hidricos/sistema-de-informacoes-sobre-recursos-hidricos/sistema-nacional-de-informacoes-sobre-recursos-hidricos",https://www.gov.br/ana/pt-br/assuntos/gestao-das-aguas/politica-nacional-de-recursos-hidricos/sistema-de-informacoes-sobre-recursos-hidricos/sistema-nacional-de-informacoes-sobre-recursos-hidricos,apply,AUTO-SAFE,"Página institucional representa melhor a identidade/escopo do SNIRH; API permanece documentação de acesso."
DR0017,license,"dados públicos da ANA","licença específica não localizada; informações públicas da ANA",https://www.gov.br/ana/pt-br/assuntos/noticias-e-eventos/noticias/agencia-lanca-boletim-que-facilita-acesso-a-dados-atualizados-sobre-usos-da-agua/,apply,AUTO-SAFE,"Publicidade/gratuidade não é licença; não atribuir a licença geral do site aos dados."
DR0018,authentication_required,"sim","parcial",https://bdmep.inmet.gov.br/,apply,AUTO-SAFE,"Há download anual imediato e fluxo personalizado com confirmação de e-mail; não existe login universal documentado."
DR0018,access_conditions,"e-mail confirmado | seleção de estação, período e variáveis | processamento em fila","download anual imediato | consulta personalizada com e-mail confirmado, seleção de estação/período/variáveis e fila; link temporário por 48 h",https://bdmep.inmet.gov.br/,apply,AUTO-SAFE,"Descrever os dois fluxos atuais e preservar a retenção de 48 h explicitamente documentada."
DR0018,access_protocols,"não se aplica","HTTP download",https://bdmep.inmet.gov.br/,apply,AUTO-SAFE,"A homepage oferece downloads diretos pela web; não há API documentada nesta entrada."
DR0019,data_formats,"assets Earth Engine | exportação GeoTIFF | CSV | TFRecord","GeoTIFF | CSV | SHP | GeoJSON | KML | KMZ | TFRecord; varia conforme a exportação",https://developers.google.com/earth-engine/guides/exporting_tables,apply,AUTO-SAFE,"Assets Earth Engine não são formato; formatos vetoriais/tabulares e GeoTIFF/TFRecord são explicitamente suportados."
DR0020,description,"Serviço para extrair subconjuntos espaciais, temporais e por camada de produtos terrestres NASA.","Serviço para extrair e transformar subconjuntos espaciais, temporais e por camada de produtos geoespaciais de diversos arquivos federais.",https://appeears.earthdatacloud.nasa.gov/,apply,AUTO-SAFE,"A homepage atual declara uma variedade de arquivos federais, não apenas produtos terrestres NASA."
DR0020,data_sources,"MODIS | VIIRS | modelos e produtos NASA","arquivos federais diversos, incluindo LP DAAC | NSIDC DAAC | ORNL DAAC | USGS | National Park Service | Ocean Biology DAAC",https://appeears.earthdatacloud.nasa.gov/,apply,AUTO-SAFE,"Atualizar proveniência agregada sem enumerar produtos individuais."
DR0020,license,"política de dados abertos NASA","varia conforme o produto e provedor; consultar produto de origem",https://appeears.earthdatacloud.nasa.gov/,apply,AUTO-SAFE,"AppEEARS agrega múltiplos arquivos/provedores; não impor licença NASA universal aos produtos."
DR0021,access_conditions,"cadastro","cadastro/login gratuito; aceitar a licença aplicável ao dataset antes do download",https://confluence.ecmwf.int/pages/viewpage.action?navigatingVersions=true&pageId=586148213,apply,AUTO-SAFE,"CDS é gratuito/aberto, mas download requer conta e concordância com a licença específica do dataset."
