resource_id,field,current_value,candidate_value,evidence_url,decision,risk,note
DR0034,authentication_required,"não","parcial",https://api.inaturalist.org/v2/docs/,apply,AUTO-SAFE,"Read API/consulta pública coexistem com exportação CSV por conta e operações autenticadas de escrita/acesso sensível."
DR0034,access_conditions,"aberto | cadastro para algumas operações","consulta pública e read API | conta para exportação CSV | autenticação para escrita ou acesso autorizado a informação privada",https://help.inaturalist.org/en/support/solutions/articles/151000170342-how-can-i-download-data-from-inaturalist-,apply,AUTO-SAFE,"Separar condições por canal."
DR0034,access_protocols,"REST API | exportação CSV | integração GBIF","REST API | HTTP export/download",https://www.inaturalist.org/pages/developers,apply,AUTO-SAFE,"Exportação e integração GBIF são rotas/processos, não protocolos."
DR0034,access_documentation_url,"https://api.inaturalist.org/v1/docs/","https://api.inaturalist.org/v2/docs/",https://api.inaturalist.org/v2/docs/,apply,AUTO-SAFE,"API v2 é documentação oficial atual."
DR0034,data_formats,"CSV | JSON via API","CSV | JSON | Darwin Core | KML; varia conforme a rota de acesso",https://www.inaturalist.org/api,apply,AUTO-SAFE,"Formatos explicitamente documentados pela API/datasets oficiais."
DR0035,,"","",https://climatedataguide.ucar.edu/about,no_change,AUTO-SAFE,"Guia curado continua corretamente modelado como portal de conhecimento, não host de dados."
DR0036,data_access_url,"https://roots.ornl.gov/","https://roots.ornl.gov/public-release",https://roots.ornl.gov/public-release,apply,AUTO-SAFE,"Página de release é o canal oficial de download/formulário."
DR0036,license,"termos do ORNL DAAC / dataset","FRED Data Use Guidelines; acesso aberto e sem cobrança; citar FRED e, quando possível, fontes originais",https://roots.ornl.gov/guidelines,apply,AUTO-SAFE,"FRED é ORNL/TES SFA; não atribuir termos ORNL DAAC sem evidência."
DR0037,data_formats,"GeoTIFF | VRT | WCS | mapas web","GeoTIFF | VRT",https://docs.isric.org/globaldata/soilgrids/index.html,apply,AUTO-SAFE,"WCS é protocolo e mapas web são interface."
DR0037,programmatic_access,"parcial","sim",https://docs.isric.org/globaldata/soilgrids/WebDav.html,apply,AUTO-SAFE,"WCS e WebDAV possuem acesso programático documentado em R/Python/Linux independentemente da REST API beta."
DR0037,access_protocols,"WMS | WCS | WebDAV | Google Earth Engine | REST API beta temporariamente pausada","WMS | WCS | WebDAV | REST API beta",https://docs.isric.org/globaldata/soilgrids/index.html,apply,AUTO-SAFE,"Google Earth Engine é plataforma, não protocolo; REST API permanece complementar/beta."
DR0038,data_formats,"TSV | WFS | formatos geoespaciais e tabulares derivados","TSV | formatos geoespaciais e tabulares derivados conforme serviço",https://docs.isric.org/globaldata/wosis/faq-wosis.html,apply,AUTO-SAFE,"WFS é protocolo."
DR0038,access_protocols,"OGC WFS | GraphQL API | download de snapshots TSV | plataforma web","OGC WFS | GraphQL API | HTTP download",https://docs.isric.org/globaldata/wosis/faq-wosis.html,apply,AUTO-SAFE,"Snapshot TSV é produto/formato e plataforma web é interface, não protocolo."
DR0039,,"","",https://www.gbif.org/ipt,no_change,AUTO-SAFE,"IPT está corretamente delimitado como software de publicação, não catálogo agregador."
