resource_id,field,current_value,candidate_value,evidence_url,decision,risk,note
DR0040,access_conditions,"cadastro | solicitação | condições por dataset","registro + solicitação | dados públicos sob CC BY | registros restritos dependem de permissão | redistribuição não permitida",https://www.try-db.org/TryWeb/Prop0.php,apply,AUTO-SAFE,"Separar acesso público, restrito e regra de redistribuição."
DR0040,license,"termos TRY e dos contribuidores","CC BY para trait records públicos; registros restritos/arquivos seguem TRY IPG e condições do proprietário",https://www.try-db.org/TryWeb/Prop0.php,apply,AUTO-SAFE,"A página atual explicita CC BY por padrão para registros públicos e permissão dos donos para restritos."
DR0041,data_formats,"CSV | acesso por pacote R e banco","CSV | formatos variados conforme produto/serviço",https://bien.nceas.ucsb.edu/bien/data-and-access/,apply,AUTO-SAFE,"Pacote R e banco não são formatos."
DR0041,access_protocols,"pacote R RBIEN | API de serviços BIEN","APIs/serviços web BIEN | HTTP download",https://bien.nceas.ucsb.edu/bien/data-and-access/,apply,AUTO-SAFE,"RBIEN é ferramenta cliente; APIs/HTTP são mecanismos de acesso."
DR0042,access_protocols,"serviços web | pacote R amerifluxr | download","Data API | HTTP download",https://ameriflux.lbl.gov/resources/resource-list/tools-and-software-for-flux-scientists/data-api-interface/,apply,AUTO-SAFE,"amerifluxr é ferramenta cliente, não protocolo."
DR0043,access_protocols,"download por portal | ferramentas comunitárias","HTTP download",https://fluxnet.org/data/data-policy/,apply,AUTO-SAFE,"Ferramentas comunitárias não são protocolo; não inventar API universal."
DR0043,license,"licença por coleção ou sítio","CC BY 4.0 para dados open; Tier Two e outras políticas específicas quando aplicáveis",https://fluxnet.org/data/data-policy/,apply,AUTO-SAFE,"Registrar regimes atuais sem universalizar a licença de todos os sítios."
DR0044,resource_name,"Global Forest Watch","Global Nature Watch",https://www.globalforestwatch.org/blog/data-and-tools/gfw-now-global-nature-watch/,apply,AUTO-SAFE,"Renomeação oficial em 2026 com continuidade explícita de dados, links e workflows."
DR0044,acronym,"GFW","GNW",https://www.globalforestwatch.org/blog/data-and-tools/gfw-now-global-nature-watch/,apply,AUTO-SAFE,"Novo nome oficial; manter DR0044."
DR0044,official_identity,"Plataforma online de monitoramento florestal","Plataforma online de monitoramento de natureza, florestas e mudanças em paisagens",https://www.globalnaturewatch.org/,apply,AUTO-SAFE,"Escopo oficial está se expandindo além de florestas."
DR0044,description,"Plataforma de monitoramento e análise de florestas com dados de múltiplas fontes.","Plataforma de monitoramento e análise de florestas e outros ecossistemas com dados de múltiplas fontes.",https://www.globalforestwatch.org/blog/data-and-tools/gfw-now-global-nature-watch/,apply,AUTO-SAFE,"Preservar continuidade e novo escopo."
DR0044,data_formats,"GeoTIFF | Shapefile | CSV | tiles | API; varia","GeoTIFF | Shapefile | CSV; varia conforme a camada",https://data-api.globalforestwatch.org/,apply,AUTO-SAFE,"Tiles/API não são formatos."
DR0044,access_protocols,"REST API | tiles | download geoespacial","REST API | tile services | HTTP download",https://data-api.globalforestwatch.org/,apply,AUTO-SAFE,"Separar mecanismos de acesso de formatos."
DR0045,data_formats,"CSV | visualização web; varia","CSV | XLS; varia conforme o produto",https://emissions.globalcarbonatlas.org/,apply,AUTO-SAFE,"Visualização web não é formato; Country Emissions exporta CSV/XLS."
DR0045,access_conditions,"aberto","acesso gratuito; uso/publicação requer crédito ao Global Carbon Atlas e às fontes originais conforme o produto",https://globalcarbonatlas.org/project/,apply,AUTO-SAFE,"Disponibilidade gratuita não constitui permissão irrestrita de publicação."
DR0045,access_protocols,"downloads e visualizações; API pública não documentada","HTTP download",https://emissions.globalcarbonatlas.org/,apply,AUTO-SAFE,"Visualização não é protocolo; não registrar ausência de API como protocolo."
DR0045,license,"termos e fontes indicados por produto","Global Carbon Atlas data-use terms + condições/créditos das fontes originais por produto",https://globalcarbonatlas.org/project/,apply,AUTO-SAFE,"Preservar condições específicas de cada série/fonte."
